mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2021,11,0,0,11430
52354538,26,26101,2021,11,0,1,8877
52354538,26,26101,2021,11,0,2,9689
52354538,26,26101,2021,11,1,0,12384
52354538,26,26101,2021,11,1,1,9233
52354538,26,26101,2021,11,1,2,10335
52354538,26,26101,2021,11,2,0,12066
52354538,26,26101,2021,11,2,1,9115
52354538,26,26101,2021,11,2,2,10120
52354548,26,26101,2021,11,0,0,9553
52354548,26,26101,2021,11,0,1,7760
52354548,26,26101,2021,11,0,2,8228
52354548,26,26101,2021,11,1,0,9222
52354548,26,26101,2021,11,1,1,7814
52354548,26,26101,2021,11,1,2,8184
52354548,26,26101,2021,11,2,0,9332
52354548,26,26101,2021,11,2,1,7796
52354548,26,26101,2021,11,2,2,8199
52354549,26,26101,2021,11,0,0,11144
52354549,26,26101,2021,11,0,1,13524
52354549,26,26101,2021,11,0,2,12325
52354549,26,26101,2021,11,1,0,10923
52354549,26,26101,2021,11,1,1,13661
52354549,26,26101,2021,11,1,2,12178
52354549,26,26101,2021,11,2,0,10997
52354549,26,26101,2021,11,2,1,13616
52354549,26,26101,2021,11,2,2,12227
52354557,26,26101,2021,11,0,0,1519
52354557,26,26101,2021,11,0,1,2081
52354557,26,26101,2021,11,0,2,1811
52354557,26,26101,2021,11,1,0,1175
52354557,26,26101,2021,11,1,1,1967
52354557,26,26101,2021,11,1,2,1598
52354557,26,26101,2021,11,2,0,1290
52354557,26,26101,2021,11,2,1,2005
52354557,26,26101,2021,11,2,2,1669
52354558,26,26101,2021,11,0,0,3583
52354558,26,26101,2021,11,0,1,4239
52354558,26,26101,2021,11,0,2,3871
52354558,26,26101,2021,11,1,0,4758
52354558,26,26101,2021,11,1,1,4573
52354558,26,26101,2021,11,1,2,4377
52354558,26,26101,2021,11,2,0,4366
52354558,26,26101,2021,11,2,1,4462
52354558,26,26101,2021,11,2,2,4208
52354559,26,26101,2021,11,0,0,9202
52354559,26,26101,2021,11,0,1,10780
52354559,26,26101,2021,11,0,2,9793
52354559,26,26101,2021,11,1,0,9002
52354559,26,26101,2021,11,1,1,10528
52354559,26,26101,2021,11,1,2,9635
52354559,26,26101,2021,11,2,0,9069
52354559,26,26101,2021,11,2,1,10612
52354559,26,26101,2021,11,2,2,9688
52354567,26,26101,2021,11,0,0,70
52354567,26,26101,2021,11,0,1,85
52354567,26,26101,2021,11,0,2,82
52354567,26,26101,2021,11,1,0,71
52354567,26,26101,2021,11,1,1,101
52354567,26,26101,2021,11,1,2,83
52354567,26,26101,2021,11,2,0,70
52354567,26,26101,2021,11,2,1,95
52354567,26,26101,2021,11,2,2,82
52354568,26,26101,2021,11,0,0,2520
52354568,26,26101,2021,11,0,1,3833
52354568,26,26101,2021,11,0,2,3325
52354568,26,26101,2021,11,1,0,2311
52354568,26,26101,2021,11,1,1,3792
52354568,26,26101,2021,11,1,2,3159
52354568,26,26101,2021,11,2,0,2381
52354568,26,26101,2021,11,2,1,3806
52354568,26,26101,2021,11,2,2,3214
52354569,26,26101,2021,11,0,0,10926
52354569,26,26101,2021,11,0,1,14829
52354569,26,26101,2021,11,0,2,13000
52354569,26,26101,2021,11,1,0,9849
52354569,26,26101,2021,11,1,1,14729
52354569,26,26101,2021,11,1,2,12461
52354569,26,26101,2021,11,2,0,10208
52354569,26,26101,2021,11,2,1,14762
52354569,26,26101,2021,11,2,2,12641
52354577,26,26101,2021,11,0,0,36
52354577,26,26101,2021,11,0,1,10
52354577,26,26101,2021,11,0,2,16
52354577,26,26101,2021,11,2,0,12
52354578,26,26101,2021,11,0,0,129
52354578,26,26101,2021,11,0,1,50
52354578,26,26101,2021,11,0,2,74
52354578,26,26101,2021,11,1,0,80
52354578,26,26101,2021,11,1,1,53
52354578,26,26101,2021,11,1,2,53
52354578,26,26101,2021,11,2,0,96
52354578,26,26101,2021,11,2,1,52
52354578,26,26101,2021,11,2,2,60
52354579,26,26101,2021,11,0,0,6075
52354579,26,26101,2021,11,0,1,7972
52354579,26,26101,2021,11,0,2,6970
52354579,26,26101,2021,11,1,0,5335
52354579,26,26101,2021,11,1,1,7909
52354579,26,26101,2021,11,1,2,6673
52354579,26,26101,2021,11,2,0,5582
52354579,26,26101,2021,11,2,1,7930
52354579,26,26101,2021,11,2,2,6772
52354586,26,26101,2021,11,0,0,11
52354587,26,26101,2021,11,0,0,12
52354589,26,26101,2021,11,0,0,3925
52354589,26,26101,2021,11,0,1,5747
52354589,26,26101,2021,11,0,2,4866
52354589,26,26101,2021,11,1,0,3193
52354589,26,26101,2021,11,1,1,5428
52354589,26,26101,2021,11,1,2,4316
52354589,26,26101,2021,11,2,0,3437
52354589,26,26101,2021,11,2,1,5534
52354589,26,26101,2021,11,2,2,4499
52354594,26,26101,2021,11,0,0,17
52354594,26,26101,2021,11,1,0,11
52354594,26,26101,2021,11,2,0,13
52354599,26,26101,2021,11,0,0,1212
52354599,26,26101,2021,11,0,1,1144
52354599,26,26101,2021,11,0,2,1161
52354599,26,26101,2021,11,1,0,882
52354599,26,26101,2021,11,1,1,1217
52354599,26,26101,2021,11,1,2,1132
52354599,26,26101,2021,11,2,0,992
52354599,26,26101,2021,11,2,1,1192
52354599,26,26101,2021,11,2,2,1141
52354640,26,26101,2021,11,0,0,12354
52354640,26,26101,2021,11,0,1,14049
52354640,26,26101,2021,11,0,2,13103
52354640,26,26101,2021,11,1,0,14476
52354640,26,26101,2021,11,1,1,14518
52354640,26,26101,2021,11,1,2,14011
52354640,26,26101,2021,11,2,0,13768
52354640,26,26101,2021,11,2,1,14362
52354640,26,26101,2021,11,2,2,13708
52354650,26,26101,2021,11,0,0,16514
52354650,26,26101,2021,11,0,1,12227
52354650,26,26101,2021,11,0,2,13857
52354650,26,26101,2021,11,1,0,17205
52354650,26,26101,2021,11,1,1,12498
52354650,26,26101,2021,11,1,2,14497
52354650,26,26101,2021,11,2,0,16975
52354650,26,26101,2021,11,2,1,12407
52354650,26,26101,2021,11,2,2,14283
52354660,26,26101,2021,11,0,0,7413
52354660,26,26101,2021,11,0,1,8715
52354660,26,26101,2021,11,0,2,8007
52354660,26,26101,2021,11,1,0,6560
52354660,26,26101,2021,11,1,1,8663
52354660,26,26101,2021,11,1,2,7507
52354660,26,26101,2021,11,2,0,6844
52354660,26,26101,2021,11,2,1,8680
52354660,26,26101,2021,11,2,2,7674
52354670,26,26101,2021,11,0,0,2644
52354670,26,26101,2021,11,0,1,2789
52354670,26,26101,2021,11,0,2,2698
52354670,26,26101,2021,11,1,0,2273
52354670,26,26101,2021,11,1,1,2854
52354670,26,26101,2021,11,1,2,2543
52354670,26,26101,2021,11,2,0,2397
52354670,26,26101,2021,11,2,1,2833
52354670,26,26101,2021,11,2,2,2595
52354680,26,26101,2021,11,0,0,4042
52354680,26,26101,2021,11,0,1,1523
52354680,26,26101,2021,11,0,2,2175
52354680,26,26101,2021,11,1,0,8825
52354680,26,26101,2021,11,1,1,2032
52354680,26,26101,2021,11,1,2,4353
52354680,26,26101,2021,11,2,0,7231
52354680,26,26101,2021,11,2,1,1862
52354680,26,26101,2021,11,2,2,3627
52354690,26,26101,2021,11,0,0,400
52354690,26,26101,2021,11,0,1,551
52354690,26,26101,2021,11,0,2,499
52354690,26,26101,2021,11,1,0,334
52354690,26,26101,2021,11,1,1,542
52354690,26,26101,2021,11,1,2,435
52354690,26,26101,2021,11,2,0,356
52354690,26,26101,2021,11,2,1,545
52354690,26,26101,2021,11,2,2,456
52355504,26,26101,2021,11,0,0,15
52355505,26,26101,2021,11,0,0,47
52355505,26,26101,2021,11,0,1,55
52355505,26,26101,2021,11,0,2,48
52355505,26,26101,2021,11,1,0,59
52355505,26,26101,2021,11,1,1,46
52355505,26,26101,2021,11,1,2,60
52355505,26,26101,2021,11,2,0,55
52355505,26,26101,2021,11,2,1,49
52355505,26,26101,2021,11,2,2,56
52355506,26,26101,2021,11,0,0,13
52355512,26,26101,2021,11,1,1,10
52355514,26,26101,2021,11,0,0,25
52355514,26,26101,2021,11,0,2,13
52355514,26,26101,2021,11,1,0,84
52355514,26,26101,2021,11,1,1,95
52355514,26,26101,2021,11,1,2,81
52355514,26,26101,2021,11,2,0,64
52355514,26,26101,2021,11,2,1,64
52355514,26,26101,2021,11,2,2,58
52355515,26,26101,2021,11,0,0,16
52355515,26,26101,2021,11,0,2,11
52355515,26,26101,2021,11,1,0,11
52355515,26,26101,2021,11,2,0,13
52355524,26,26101,2021,11,0,0,48
52355524,26,26101,2021,11,0,2,24
52355524,26,26101,2021,11,1,0,23
52355524,26,26101,2021,11,1,2,15
52355524,26,26101,2021,11,2,0,32
52355524,26,26101,2021,11,2,2,18
52355528,26,26101,2021,11,0,0,25
52355528,26,26101,2021,11,0,1,98
52355528,26,26101,2021,11,0,2,78
52355528,26,26101,2021,11,1,0,22
52355528,26,26101,2021,11,1,1,96
52355528,26,26101,2021,11,1,2,58
52355528,26,26101,2021,11,2,0,23
52355528,26,26101,2021,11,2,1,97
52355528,26,26101,2021,11,2,2,64
52355533,26,26101,2021,11,0,0,76
52355533,26,26101,2021,11,0,1,29
52355533,26,26101,2021,11,0,2,47
52355533,26,26101,2021,11,1,0,27
52355533,26,26101,2021,11,1,2,12
52355533,26,26101,2021,11,2,0,43
52355533,26,26101,2021,11,2,1,10
52355533,26,26101,2021,11,2,2,23
52355536,26,26101,2021,11,0,1,10
52355536,26,26101,2021,11,0,2,13
52355537,26,26101,2021,11,0,0,56
52355537,26,26101,2021,11,0,1,26
52355537,26,26101,2021,11,0,2,33
52355537,26,26101,2021,11,1,0,13
52355537,26,26101,2021,11,1,1,13
