mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2020,02,0,0,11659
52354538,26,26101,2020,02,0,1,8218
52354538,26,26101,2020,02,0,2,9477
52354538,26,26101,2020,02,1,0,10855
52354538,26,26101,2020,02,1,1,8004
52354538,26,26101,2020,02,1,2,9090
52354538,26,26101,2020,02,2,0,11160
52354538,26,26101,2020,02,2,1,8085
52354538,26,26101,2020,02,2,2,9237
52354548,26,26101,2020,02,0,0,8603
52354548,26,26101,2020,02,0,1,8065
52354548,26,26101,2020,02,0,2,7805
52354548,26,26101,2020,02,1,0,7724
52354548,26,26101,2020,02,1,1,7728
52354548,26,26101,2020,02,1,2,7478
52354548,26,26101,2020,02,2,0,8057
52354548,26,26101,2020,02,2,1,7856
52354548,26,26101,2020,02,2,2,7602
52354549,26,26101,2020,02,0,0,11225
52354549,26,26101,2020,02,0,1,12983
52354549,26,26101,2020,02,0,2,11980
52354549,26,26101,2020,02,1,0,9706
52354549,26,26101,2020,02,1,1,12589
52354549,26,26101,2020,02,1,2,11046
52354549,26,26101,2020,02,2,0,10282
52354549,26,26101,2020,02,2,1,12739
52354549,26,26101,2020,02,2,2,11400
52354557,26,26101,2020,02,0,0,2046
52354557,26,26101,2020,02,0,1,2256
52354557,26,26101,2020,02,0,2,2145
52354557,26,26101,2020,02,1,0,1739
52354557,26,26101,2020,02,1,1,2358
52354557,26,26101,2020,02,1,2,2050
52354557,26,26101,2020,02,2,0,1855
52354557,26,26101,2020,02,2,1,2319
52354557,26,26101,2020,02,2,2,2086
52354558,26,26101,2020,02,0,0,3537
52354558,26,26101,2020,02,0,1,4004
52354558,26,26101,2020,02,0,2,3710
52354558,26,26101,2020,02,1,0,3828
52354558,26,26101,2020,02,1,1,4003
52354558,26,26101,2020,02,1,2,3775
52354558,26,26101,2020,02,2,0,3718
52354558,26,26101,2020,02,2,1,4003
52354558,26,26101,2020,02,2,2,3750
52354559,26,26101,2020,02,0,0,11077
52354559,26,26101,2020,02,0,1,12536
52354559,26,26101,2020,02,0,2,11546
52354559,26,26101,2020,02,1,0,10236
52354559,26,26101,2020,02,1,1,12875
52354559,26,26101,2020,02,1,2,11208
52354559,26,26101,2020,02,2,0,10555
52354559,26,26101,2020,02,2,1,12747
52354559,26,26101,2020,02,2,2,11336
52354567,26,26101,2020,02,0,0,142
52354567,26,26101,2020,02,0,1,184
52354567,26,26101,2020,02,0,2,167
52354567,26,26101,2020,02,1,0,102
52354567,26,26101,2020,02,1,1,161
52354567,26,26101,2020,02,1,2,139
52354567,26,26101,2020,02,2,0,117
52354567,26,26101,2020,02,2,1,170
52354567,26,26101,2020,02,2,2,150
52354568,26,26101,2020,02,0,0,2692
52354568,26,26101,2020,02,0,1,3713
52354568,26,26101,2020,02,0,2,3215
52354568,26,26101,2020,02,1,0,2287
52354568,26,26101,2020,02,1,1,3627
52354568,26,26101,2020,02,1,2,2951
52354568,26,26101,2020,02,2,0,2441
52354568,26,26101,2020,02,2,1,3660
52354568,26,26101,2020,02,2,2,3051
52354569,26,26101,2020,02,0,0,12556
52354569,26,26101,2020,02,0,1,16254
52354569,26,26101,2020,02,0,2,14248
52354569,26,26101,2020,02,1,0,10956
52354569,26,26101,2020,02,1,1,15776
52354569,26,26101,2020,02,1,2,13379
52354569,26,26101,2020,02,2,0,11563
52354569,26,26101,2020,02,2,1,15957
