mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2019,12,0,0,11188
52354538,26,26101,2019,12,0,1,8855
52354538,26,26101,2019,12,0,2,9482
52354538,26,26101,2019,12,1,0,12615
52354538,26,26101,2019,12,1,1,8804
52354538,26,26101,2019,12,1,2,10249
52354538,26,26101,2019,12,2,0,12201
52354538,26,26101,2019,12,2,1,8819
52354538,26,26101,2019,12,2,2,10026
52354548,26,26101,2019,12,0,0,10026
52354548,26,26101,2019,12,0,1,8754
52354548,26,26101,2019,12,0,2,8766
52354548,26,26101,2019,12,1,0,9601
52354548,26,26101,2019,12,1,1,8938
52354548,26,26101,2019,12,1,2,8959
52354548,26,26101,2019,12,2,0,9724
52354548,26,26101,2019,12,2,1,8884
52354548,26,26101,2019,12,2,2,8903
52354549,26,26101,2019,12,0,0,10807
52354549,26,26101,2019,12,0,1,12476
52354549,26,26101,2019,12,0,2,11413
52354549,26,26101,2019,12,1,0,10138
52354549,26,26101,2019,12,1,1,12556
52354549,26,26101,2019,12,1,2,11313
52354549,26,26101,2019,12,2,0,10332
52354549,26,26101,2019,12,2,1,12533
52354549,26,26101,2019,12,2,2,11342
52354557,26,26101,2019,12,0,0,1617
52354557,26,26101,2019,12,0,1,2087
52354557,26,26101,2019,12,0,2,1886
52354557,26,26101,2019,12,1,0,1334
52354557,26,26101,2019,12,1,1,2031
52354557,26,26101,2019,12,1,2,1705
52354557,26,26101,2019,12,2,0,1416
52354557,26,26101,2019,12,2,1,2048
52354557,26,26101,2019,12,2,2,1757
52354558,26,26101,2019,12,0,0,4137
52354558,26,26101,2019,12,0,1,4346
52354558,26,26101,2019,12,0,2,4037
52354558,26,26101,2019,12,1,0,6776
52354558,26,26101,2019,12,1,1,4507
52354558,26,26101,2019,12,1,2,5047
52354558,26,26101,2019,12,2,0,6010
52354558,26,26101,2019,12,2,1,4460
52354558,26,26101,2019,12,2,2,4753
52354559,26,26101,2019,12,0,0,10914
52354559,26,26101,2019,12,0,1,12869
52354559,26,26101,2019,12,0,2,11638
52354559,26,26101,2019,12,1,0,10744
52354559,26,26101,2019,12,1,1,12895
52354559,26,26101,2019,12,1,2,11443
52354559,26,26101,2019,12,2,0,10793
52354559,26,26101,2019,12,2,1,12888
52354559,26,26101,2019,12,2,2,11500
52354567,26,26101,2019,12,0,0,93
52354567,26,26101,2019,12,0,1,108
52354567,26,26101,2019,12,0,2,106
52354567,26,26101,2019,12,1,0,56
52354567,26,26101,2019,12,1,1,92
52354567,26,26101,2019,12,1,2,83
52354567,26,26101,2019,12,2,0,67
52354567,26,26101,2019,12,2,1,97
52354567,26,26101,2019,12,2,2,90
52354568,26,26101,2019,12,0,0,2538
52354568,26,26101,2019,12,0,1,3620
52354568,26,26101,2019,12,0,2,3108
52354568,26,26101,2019,12,1,0,2236
52354568,26,26101,2019,12,1,1,3527
52354568,26,26101,2019,12,1,2,2956
52354568,26,26101,2019,12,2,0,2323
52354568,26,26101,2019,12,2,1,3554
52354568,26,26101,2019,12,2,2,3000
52354569,26,26101,2019,12,0,0,11778
52354569,26,26101,2019,12,0,1,16121
52354569,26,26101,2019,12,0,2,13706
52354569,26,26101,2019,12,1,0,10648
