mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2021,07,0,0,10642
52354538,26,26101,2021,07,0,1,9214
52354538,26,26101,2021,07,0,2,9671
52354538,26,26101,2021,07,1,0,11781
52354538,26,26101,2021,07,1,1,9202
52354538,26,26101,2021,07,1,2,10202
52354538,26,26101,2021,07,2,0,11377
52354538,26,26101,2021,07,2,1,9206
52354538,26,26101,2021,07,2,2,10014
52354548,26,26101,2021,07,0,0,8199
52354548,26,26101,2021,07,0,1,7368
52354548,26,26101,2021,07,0,2,7604
52354548,26,26101,2021,07,1,0,8187
52354548,26,26101,2021,07,1,1,7150
52354548,26,26101,2021,07,1,2,7492
52354548,26,26101,2021,07,2,0,8191
52354548,26,26101,2021,07,2,1,7228
52354548,26,26101,2021,07,2,2,7532
52354549,26,26101,2021,07,0,0,11471
52354549,26,26101,2021,07,0,1,13551
52354549,26,26101,2021,07,0,2,12465
52354549,26,26101,2021,07,1,0,10474
52354549,26,26101,2021,07,1,1,13008
52354549,26,26101,2021,07,1,2,11882
52354549,26,26101,2021,07,2,0,10828
52354549,26,26101,2021,07,2,1,13201
52354549,26,26101,2021,07,2,2,12089
52354557,26,26101,2021,07,0,0,1411
52354557,26,26101,2021,07,0,1,1982
52354557,26,26101,2021,07,0,2,1742
52354557,26,26101,2021,07,1,0,1160
52354557,26,26101,2021,07,1,1,1824
52354557,26,26101,2021,07,1,2,1498
52354557,26,26101,2021,07,2,0,1249
52354557,26,26101,2021,07,2,1,1880
52354557,26,26101,2021,07,2,2,1584
52354558,26,26101,2021,07,0,0,3516
52354558,26,26101,2021,07,0,1,4349
52354558,26,26101,2021,07,0,2,3964
52354558,26,26101,2021,07,1,0,3663
52354558,26,26101,2021,07,1,1,4204
52354558,26,26101,2021,07,1,2,3909
52354558,26,26101,2021,07,2,0,3611
52354558,26,26101,2021,07,2,1,4255
52354558,26,26101,2021,07,2,2,3928
52354559,26,26101,2021,07,0,0,8826
52354559,26,26101,2021,07,0,1,10100
52354559,26,26101,2021,07,0,2,9475
52354559,26,26101,2021,07,1,0,8546
52354559,26,26101,2021,07,1,1,10396
52354559,26,26101,2021,07,1,2,9413
52354559,26,26101,2021,07,2,0,8646
52354559,26,26101,2021,07,2,1,10291
52354559,26,26101,2021,07,2,2,9435
52354567,26,26101,2021,07,0,0,52
52354567,26,26101,2021,07,0,1,101
52354567,26,26101,2021,07,0,2,80
52354567,26,26101,2021,07,1,0,49
52354567,26,26101,2021,07,1,1,89
52354567,26,26101,2021,07,1,2,71
52354567,26,26101,2021,07,2,0,50
52354567,26,26101,2021,07,2,1,93
52354567,26,26101,2021,07,2,2,74
52354568,26,26101,2021,07,0,0,2937
52354568,26,26101,2021,07,0,1,3869
52354568,26,26101,2021,07,0,2,3484
52354568,26,26101,2021,07,1,0,2677
52354568,26,26101,2021,07,1,1,3958
52354568,26,26101,2021,07,1,2,3387
52354568,26,26101,2021,07,2,0,2769
52354568,26,26101,2021,07,2,1,3926
52354568,26,26101,2021,07,2,2,3421
52354569,26,26101,2021,07,0,0,12123
52354569,26,26101,2021,07,0,1,16217
52354569,26,26101,2021,07,0,2,14237
52354569,26,26101,2021,07,1,0,11105
52354569,26,26101,2021,07,1,1,16235
52354569,26,26101,2021,07,1,2,13682
52354569,26,26101,2021,07,2,0,11466
52354569,26,26101,2021,07,2,1,16228
52354569,26,26101,2021,07,2,2,13879
52354577,26,26101,2021,07,0,0,11
52354577,26,26101,2021,07,0,1,11
52354578,26,26101,2021,07,0,0,45
52354578,26,26101,2021,07,0,2,22
52354578,26,26101,2021,07,1,0,49
52354578,26,26101,2021,07,1,1,14
52354578,26,26101,2021,07,1,2,32
52354578,26,26101,2021,07,2,0,47
52354578,26,26101,2021,07,2,2,29
52354579,26,26101,2021,07,0,0,6723
52354579,26,26101,2021,07,0,1,8237
52354579,26,26101,2021,07,0,2,7530
52354579,26,26101,2021,07,1,0,6029
52354579,26,26101,2021,07,1,1,8410
52354579,26,26101,2021,07,1,2,7211
52354579,26,26101,2021,07,2,0,6275
52354579,26,26101,2021,07,2,1,8349
52354579,26,26101,2021,07,2,2,7324
52354587,26,26101,2021,07,0,0,23
52354587,26,26101,2021,07,2,0,11
52354589,26,26101,2021,07,0,0,4088
52354589,26,26101,2021,07,0,1,5573
52354589,26,26101,2021,07,0,2,4854
52354589,26,26101,2021,07,1,0,3294
52354589,26,26101,2021,07,1,1,5272
52354589,26,26101,2021,07,1,2,4359
52354589,26,26101,2021,07,2,0,3575
52354589,26,26101,2021,07,2,1,5379
52354589,26,26101,2021,07,2,2,4535
52354595,26,26101,2021,07,0,0,18
52354599,26,26101,2021,07,0,0,1449
52354599,26,26101,2021,07,0,1,1638
52354599,26,26101,2021,07,0,2,1523
52354599,26,26101,2021,07,1,0,947
52354599,26,26101,2021,07,1,1,1543
52354599,26,26101,2021,07,1,2,1315
52354599,26,26101,2021,07,2,0,1125
52354599,26,26101,2021,07,2,1,1577
52354599,26,26101,2021,07,2,2,1389
52354640,26,26101,2021,07,0,0,11777
52354640,26,26101,2021,07,0,1,13866
52354640,26,26101,2021,07,0,2,12831
52354640,26,26101,2021,07,1,0,13960
52354640,26,26101,2021,07,1,1,14289
52354640,26,26101,2021,07,1,2,13739
52354640,26,26101,2021,07,2,0,13185
52354640,26,26101,2021,07,2,1,14139
52354640,26,26101,2021,07,2,2,13417
52354650,26,26101,2021,07,0,0,15299
52354650,26,26101,2021,07,0,1,11797
52354650,26,26101,2021,07,0,2,13262
52354650,26,26101,2021,07,1,0,16403
52354650,26,26101,2021,07,1,1,12105
52354650,26,26101,2021,07,1,2,13846
52354650,26,26101,2021,07,2,0,16011
52354650,26,26101,2021,07,2,1,11996
52354650,26,26101,2021,07,2,2,13639
52354660,26,26101,2021,07,0,0,7828
52354660,26,26101,2021,07,0,1,9512
52354660,26,26101,2021,07,0,2,8612
52354660,26,26101,2021,07,1,0,7061
52354660,26,26101,2021,07,1,1,9168
52354660,26,26101,2021,07,1,2,8140
52354660,26,26101,2021,07,2,0,7333
52354660,26,26101,2021,07,2,1,9290
52354660,26,26101,2021,07,2,2,8307
52354670,26,26101,2021,07,0,0,2111
52354670,26,26101,2021,07,0,1,2539
52354670,26,26101,2021,07,0,2,2317
52354670,26,26101,2021,07,1,0,1920
52354670,26,26101,2021,07,1,1,2552
52354670,26,26101,2021,07,1,2,2263
52354670,26,26101,2021,07,2,0,1987
52354670,26,26101,2021,07,2,1,2547
52354670,26,26101,2021,07,2,2,2282
52354680,26,26101,2021,07,0,0,2708
52354680,26,26101,2021,07,0,1,1578
52354680,26,26101,2021,07,0,2,1865
52354680,26,26101,2021,07,1,0,6423
52354680,26,26101,2021,07,1,1,2033
52354680,26,26101,2021,07,1,2,3573
52354680,26,26101,2021,07,2,0,5105
52354680,26,26101,2021,07,2,1,1872
52354680,26,26101,2021,07,2,2,2967
52354690,26,26101,2021,07,0,0,797
52354690,26,26101,2021,07,0,1,915
52354690,26,26101,2021,07,0,2,843
52354690,26,26101,2021,07,1,0,675
52354690,26,26101,2021,07,1,1,804
52354690,26,26101,2021,07,1,2,764
52354690,26,26101,2021,07,2,0,718
52354690,26,26101,2021,07,2,1,843
52354690,26,26101,2021,07,2,2,792
52355504,26,26101,2021,07,0,0,23
52355504,26,26101,2021,07,0,2,11
52355504,26,26101,2021,07,1,0,12
52355504,26,26101,2021,07,2,0,16
52355504,26,26101,2021,07,2,2,10
52355505,26,26101,2021,07,0,0,55
52355505,26,26101,2021,07,0,1,60
52355505,26,26101,2021,07,0,2,60
52355505,26,26101,2021,07,1,0,42
52355505,26,26101,2021,07,1,1,38
52355505,26,26101,2021,07,1,2,43
52355505,26,26101,2021,07,2,0,47
52355505,26,26101,2021,07,2,1,46
52355505,26,26101,2021,07,2,2,49
52355514,26,26101,2021,07,0,0,37
52355514,26,26101,2021,07,0,1,12
52355514,26,26101,2021,07,0,2,21
52355514,26,26101,2021,07,1,0,73
52355514,26,26101,2021,07,1,1,32
52355514,26,26101,2021,07,1,2,65
52355514,26,26101,2021,07,2,0,60
52355514,26,26101,2021,07,2,1,25
52355514,26,26101,2021,07,2,2,49
52355515,26,26101,2021,07,0,0,40
52355515,26,26101,2021,07,0,1,16
52355515,26,26101,2021,07,0,2,32
52355515,26,26101,2021,07,1,0,16
52355515,26,26101,2021,07,1,2,11
52355515,26,26101,2021,07,2,0,24
52355515,26,26101,2021,07,2,2,19
52355524,26,26101,2021,07,0,0,40
52355524,26,26101,2021,07,0,2,17
52355524,26,26101,2021,07,1,0,15
52355524,26,26101,2021,07,2,0,24
52355524,26,26101,2021,07,2,2,11
52355528,26,26101,2021,07,0,0,61
52355528,26,26101,2021,07,0,1,97
52355528,26,26101,2021,07,0,2,74
52355528,26,26101,2021,07,1,0,40
52355528,26,26101,2021,07,1,1,89
52355528,26,26101,2021,07,1,2,63
52355528,26,26101,2021,07,2,0,47
52355528,26,26101,2021,07,2,1,92
52355528,26,26101,2021,07,2,2,67
52355533,26,26101,2021,07,0,0,45
52355533,26,26101,2021,07,0,2,19
52355533,26,26101,2021,07,1,0,13
52355533,26,26101,2021,07,1,2,13
52355533,26,26101,2021,07,2,0,24
52355533,26,26101,2021,07,2,2,15
52355534,26,26101,2021,07,0,0,10
52355536,26,26101,2021,07,0,0,12
52355536,26,26101,2021,07,0,1,17
52355536,26,26101,2021,07,0,2,10
52355537,26,26101,2021,07,0,0,17
52355537,26,26101,2021,07,0,2,16
52355537,26,26101,2021,07,1,0,10
52355537,26,26101,2021,07,1,1,12
52355537,26,26101,2021,07,1,2,11
52355537,26,26101,2021,07,2,0,13
52355537,26,26101,2021,07,2,2,12
52355564,26,26101,2021,07,0,0,22
52355564,26,26101,2021,07,0,2,20
52355564,26,26101,2021,07,1,0,16
52355564,26,26101,2021,07,1,1,10
52355564,26,26101,2021,07,1,2,11
52355564,26,26101,2021,07,2,0,18
52355564,26,26101,2021,07,2,2,14
52355575,26,26101,2021,07,0,0,12
52355576,26,26101,2021,07,0,0,88
52355576,26,26101,2021,07,0,1,29
52355576,26,26101,2021,07,0,2,44
52355576,26,26101,2021,07,1,0,19
52355576,26,26101,2021,07,1,1,14
52355576,26,26101,2021,07,1,2,11
52355576,26,26101,2021,07,2,0,43
52355576,26,26101,2021,07,2,1,19
52355576,26,26101,2021,07,2,2,23
52354529,26,26102,2021,07,0,0,11879
52354529,26,26102,2021,07,0,1,14327
52354529,26,26102,2021,07,0,2,13189
52354529,26,26102,2021,07,1,0,10764
52354529,26,26102,2021,07,1,1,13985
52354529,26,26102,2021,07,1,2,12483
52354529,26,26102,2021,07,2,0,11160
52354529,26,26102,2021,07,2,1,14107
52354529,26,26102,2021,07,2,2,12733
52354539,26,26102,2021,07,0,0,13923
52354539,26,26102,2021,07,0,1,15402
52354539,26,26102,2021,07,0,2,14626
52354539,26,26102,2021,07,1,0,13793
52354539,26,26102,2021,07,1,1,15435
52354539,26,26102,2021,07,1,2,14612
52354539,26,26102,2021,07,2,0,13839
52354539,26,26102,2021,07,2,1,15423
52354539,26,26102,2021,07,2,2,14616
52354620,26,26102,2021,07,0,0,12013
52354620,26,26102,2021,07,0,1,10705
52354620,26,26102,2021,07,0,2,11279
52354620,26,26102,2021,07,1,0,20488
52354620,26,26102,2021,07,1,1,12188
52354620,26,26102,2021,07,1,2,15799
52354620,26,26102,2021,07,2,0,17481
52354620,26,26102,2021,07,2,1,11662
52354620,26,26102,2021,07,2,2,14195
52354621,26,26102,2021,07,0,0,9661
52354621,26,26102,2021,07,0,1,7126
52354621,26,26102,2021,07,0,2,8289
52354621,26,26102,2021,07,1,0,14999
52354621,26,26102,2021,07,1,1,8691
52354621,26,26102,2021,07,1,2,11334
52354621,26,26102,2021,07,2,0,13105
52354621,26,26102,2021,07,2,1,8136
52354621,26,26102,2021,07,2,2,10254
52354630,26,26102,2021,07,0,0,20985
52354630,26,26102,2021,07,0,1,19116
52354630,26,26102,2021,07,0,2,19579
52354630,26,26102,2021,07,1,0,24899
52354630,26,26102,2021,07,1,1,19900
52354630,26,26102,2021,07,1,2,21306
52354630,26,26102,2021,07,2,0,23510
52354630,26,26102,2021,07,2,1,19622
52354630,26,26102,2021,07,2,2,20693
52354631,26,26102,2021,07,0,0,11734
52354631,26,26102,2021,07,0,1,10078
52354631,26,26102,2021,07,0,2,10671
52354631,26,26102,2021,07,1,0,13456
52354631,26,26102,2021,07,1,1,10608
52354631,26,26102,2021,07,1,2,11653
52354631,26,26102,2021,07,2,0,12845
52354631,26,26102,2021,07,2,1,10420
52354631,26,26102,2021,07,2,2,11304
52354612,26,26103,2021,07,0,0,15429
52354612,26,26103,2021,07,0,1,10085
52354612,26,26103,2021,07,0,2,12133
52354612,26,26103,2021,07,1,0,11852
52354612,26,26103,2021,07,1,1,9665
52354612,26,26103,2021,07,1,2,10492
52354612,26,26103,2021,07,2,0,13121
52354612,26,26103,2021,07,2,1,9814
52354612,26,26103,2021,07,2,2,11074
52354613,26,26103,2021,07,0,0,3787
52354613,26,26103,2021,07,0,1,2404
52354613,26,26103,2021,07,0,2,2878
52354613,26,26103,2021,07,1,0,3422
52354613,26,26103,2021,07,1,1,2281
52354613,26,26103,2021,07,1,2,2662
52354613,26,26103,2021,07,2,0,3551
52354613,26,26103,2021,07,2,1,2325
52354613,26,26103,2021,07,2,2,2739
52354622,26,26103,2021,07,0,0,12068
52354622,26,26103,2021,07,0,1,10896
52354622,26,26103,2021,07,0,2,11065
52354622,26,26103,2021,07,1,0,19408
52354622,26,26103,2021,07,1,1,11942
52354622,26,26103,2021,07,1,2,14766
52354622,26,26103,2021,07,2,0,16803
52354622,26,26103,2021,07,2,1,11571
52354622,26,26103,2021,07,2,2,13453
52354623,26,26103,2021,07,0,0,3650
