mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2021,08,0,0,9055
52354538,26,26101,2021,08,0,1,8336
52354538,26,26101,2021,08,0,2,8606
52354538,26,26101,2021,08,1,0,9406
52354538,26,26101,2021,08,1,1,8709
52354538,26,26101,2021,08,1,2,8969
52354538,26,26101,2021,08,2,0,9293
52354538,26,26101,2021,08,2,1,8589
52354538,26,26101,2021,08,2,2,8852
52354548,26,26101,2021,08,0,0,7836
52354548,26,26101,2021,08,0,1,7077
52354548,26,26101,2021,08,0,2,7292
52354548,26,26101,2021,08,1,0,7494
52354548,26,26101,2021,08,1,1,7328
52354548,26,26101,2021,08,1,2,7297
52354548,26,26101,2021,08,2,0,7604
52354548,26,26101,2021,08,2,1,7247
52354548,26,26101,2021,08,2,2,7296
52354549,26,26101,2021,08,0,0,11373
52354549,26,26101,2021,08,0,1,13108
52354549,26,26101,2021,08,0,2,12288
52354549,26,26101,2021,08,1,0,10834
52354549,26,26101,2021,08,1,1,12912
52354549,26,26101,2021,08,1,2,11957
52354549,26,26101,2021,08,2,0,11008
52354549,26,26101,2021,08,2,1,12975
52354549,26,26101,2021,08,2,2,12064
52354557,26,26101,2021,08,0,0,1641
52354557,26,26101,2021,08,0,1,2008
52354557,26,26101,2021,08,0,2,1838
52354557,26,26101,2021,08,1,0,1451
52354557,26,26101,2021,08,1,1,1951
52354557,26,26101,2021,08,1,2,1692
52354557,26,26101,2021,08,2,0,1512
52354557,26,26101,2021,08,2,1,1969
52354557,26,26101,2021,08,2,2,1739
52354558,26,26101,2021,08,0,0,3405
52354558,26,26101,2021,08,0,1,3942
52354558,26,26101,2021,08,0,2,3659
52354558,26,26101,2021,08,1,0,2946
52354558,26,26101,2021,08,1,1,3815
52354558,26,26101,2021,08,1,2,3410
52354558,26,26101,2021,08,2,0,3094
52354558,26,26101,2021,08,2,1,3856
52354558,26,26101,2021,08,2,2,3490
52354559,26,26101,2021,08,0,0,9251
52354559,26,26101,2021,08,0,1,10059
52354559,26,26101,2021,08,0,2,9650
52354559,26,26101,2021,08,1,0,8748
52354559,26,26101,2021,08,1,1,10636
52354559,26,26101,2021,08,1,2,9624
52354559,26,26101,2021,08,2,0,8910
52354559,26,26101,2021,08,2,1,10450
52354559,26,26101,2021,08,2,2,9632
52354567,26,26101,2021,08,0,0,108
52354567,26,26101,2021,08,0,1,140
52354567,26,26101,2021,08,0,2,117
52354567,26,26101,2021,08,1,0,53
52354567,26,26101,2021,08,1,1,102
52354567,26,26101,2021,08,1,2,79
52354567,26,26101,2021,08,2,0,71
52354567,26,26101,2021,08,2,1,114
52354567,26,26101,2021,08,2,2,91
52354568,26,26101,2021,08,0,0,2899
52354568,26,26101,2021,08,0,1,4134
52354568,26,26101,2021,08,0,2,3657
52354568,26,26101,2021,08,1,0,2708
52354568,26,26101,2021,08,1,1,4084
52354568,26,26101,2021,08,1,2,3496
52354568,26,26101,2021,08,2,0,2770
52354568,26,26101,2021,08,2,1,4100
52354568,26,26101,2021,08,2,2,3548
52354569,26,26101,2021,08,0,0,12852
52354569,26,26101,2021,08,0,1,15850
52354569,26,26101,2021,08,0,2,14372
52354569,26,26101,2021,08,1,0,11680
52354569,26,26101,2021,08,1,1,15454
52354569,26,26101,2021,08,1,2,13714
52354569,26,26101,2021,08,2,0,12058
52354569,26,26101,2021,08,2,1,15582
52354569,26,26101,2021,08,2,2,13926
52354578,26,26101,2021,08,0,0,34
52354578,26,26101,2021,08,0,1,51
52354578,26,26101,2021,08,0,2,42
52354578,26,26101,2021,08,1,0,45
52354578,26,26101,2021,08,1,1,26
52354578,26,26101,2021,08,1,2,30
52354578,26,26101,2021,08,2,0,42
52354578,26,26101,2021,08,2,1,34
52354578,26,26101,2021,08,2,2,34
52354579,26,26101,2021,08,0,0,6367
52354579,26,26101,2021,08,0,1,8140
52354579,26,26101,2021,08,0,2,7416
52354579,26,26101,2021,08,1,0,5844
52354579,26,26101,2021,08,1,1,8023
52354579,26,26101,2021,08,1,2,6908
52354579,26,26101,2021,08,2,0,6013
52354579,26,26101,2021,08,2,1,8061
52354579,26,26101,2021,08,2,2,7072
52354587,26,26101,2021,08,1,0,22
52354587,26,26101,2021,08,2,0,18
52354589,26,26101,2021,08,0,0,4013
52354589,26,26101,2021,08,0,1,5397
52354589,26,26101,2021,08,0,2,4790
52354589,26,26101,2021,08,1,0,3725
52354589,26,26101,2021,08,1,1,5447
52354589,26,26101,2021,08,1,2,4573
52354589,26,26101,2021,08,2,0,3818
52354589,26,26101,2021,08,2,1,5431
52354589,26,26101,2021,08,2,2,4643
52354594,26,26101,2021,08,0,0,18
52354594,26,26101,2021,08,0,2,16
52354594,26,26101,2021,08,2,0,10
52354599,26,26101,2021,08,0,0,1136
52354599,26,26101,2021,08,0,1,1417
52354599,26,26101,2021,08,0,2,1291
52354599,26,26101,2021,08,1,0,1077
52354599,26,26101,2021,08,1,1,1362
52354599,26,26101,2021,08,1,2,1250
52354599,26,26101,2021,08,2,0,1096
52354599,26,26101,2021,08,2,1,1380
52354599,26,26101,2021,08,2,2,1263
52354640,26,26101,2021,08,0,0,11641
52354640,26,26101,2021,08,0,1,13529
52354640,26,26101,2021,08,0,2,12636
52354640,26,26101,2021,08,1,0,13276
52354640,26,26101,2021,08,1,1,13933
52354640,26,26101,2021,08,1,2,13358
52354640,26,26101,2021,08,2,0,12749
52354640,26,26101,2021,08,2,1,13803
52354640,26,26101,2021,08,2,2,13125
52354650,26,26101,2021,08,0,0,14926
52354650,26,26101,2021,08,0,1,11731
52354650,26,26101,2021,08,0,2,13091
52354650,26,26101,2021,08,1,0,14767
52354650,26,26101,2021,08,1,1,11984
52354650,26,26101,2021,08,1,2,13211
52354650,26,26101,2021,08,2,0,14818
52354650,26,26101,2021,08,2,1,11903
52354650,26,26101,2021,08,2,2,13172
52354660,26,26101,2021,08,0,0,8268
52354660,26,26101,2021,08,0,1,9294
52354660,26,26101,2021,08,0,2,8808
52354660,26,26101,2021,08,1,0,7373
52354660,26,26101,2021,08,1,1,8928
52354660,26,26101,2021,08,1,2,8110
52354660,26,26101,2021,08,2,0,7662
52354660,26,26101,2021,08,2,1,9046
52354660,26,26101,2021,08,2,2,8335
52354670,26,26101,2021,08,0,0,2250
52354670,26,26101,2021,08,0,1,2599
52354670,26,26101,2021,08,0,2,2435
52354670,26,26101,2021,08,1,0,1705
52354670,26,26101,2021,08,1,1,2304
52354670,26,26101,2021,08,1,2,2067
52354670,26,26101,2021,08,2,0,1881
52354670,26,26101,2021,08,2,1,2399
52354670,26,26101,2021,08,2,2,2186
52354680,26,26101,2021,08,0,0,2732
52354680,26,26101,2021,08,0,1,1639
52354680,26,26101,2021,08,0,2,1885
52354680,26,26101,2021,08,1,0,2485
52354680,26,26101,2021,08,1,1,1475
52354680,26,26101,2021,08,1,2,1787
52354680,26,26101,2021,08,2,0,2564
52354680,26,26101,2021,08,2,1,1528
52354680,26,26101,2021,08,2,2,1818
52354690,26,26101,2021,08,0,0,650
52354690,26,26101,2021,08,0,1,861
52354690,26,26101,2021,08,0,2,797
52354690,26,26101,2021,08,1,0,612
52354690,26,26101,2021,08,1,1,823
52354690,26,26101,2021,08,1,2,728
52354690,26,26101,2021,08,2,0,624
52354690,26,26101,2021,08,2,1,835
52354690,26,26101,2021,08,2,2,750
52355504,26,26101,2021,08,0,0,24
52355504,26,26101,2021,08,0,1,11
52355504,26,26101,2021,08,0,2,12
52355504,26,26101,2021,08,1,0,12
52355504,26,26101,2021,08,1,2,10
52355504,26,26101,2021,08,2,0,16
52355504,26,26101,2021,08,2,2,11
52355505,26,26101,2021,08,0,0,92
52355505,26,26101,2021,08,0,1,52
52355505,26,26101,2021,08,0,2,77
52355505,26,26101,2021,08,1,0,40
52355505,26,26101,2021,08,1,1,43
52355505,26,26101,2021,08,1,2,41
52355505,26,26101,2021,08,2,0,57
52355505,26,26101,2021,08,2,1,46
52355505,26,26101,2021,08,2,2,52
52355506,26,26101,2021,08,1,0,12
52355514,26,26101,2021,08,0,0,34
52355514,26,26101,2021,08,0,1,13
52355514,26,26101,2021,08,0,2,21
52355514,26,26101,2021,08,1,0,92
52355514,26,26101,2021,08,1,1,42
52355514,26,26101,2021,08,1,2,68
52355514,26,26101,2021,08,2,0,73
52355514,26,26101,2021,08,2,1,32
52355514,26,26101,2021,08,2,2,52
52355515,26,26101,2021,08,0,0,51
52355515,26,26101,2021,08,0,1,35
52355515,26,26101,2021,08,0,2,38
52355515,26,26101,2021,08,1,0,24
52355515,26,26101,2021,08,1,2,16
52355515,26,26101,2021,08,2,0,33
52355515,26,26101,2021,08,2,1,12
52355515,26,26101,2021,08,2,2,23
52355524,26,26101,2021,08,0,0,78
52355524,26,26101,2021,08,0,1,32
52355524,26,26101,2021,08,0,2,46
52355524,26,26101,2021,08,1,0,43
