mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2021,04,0,0,10372
52354538,26,26101,2021,04,0,1,8885
52354538,26,26101,2021,04,0,2,9415
52354538,26,26101,2021,04,1,0,11952
52354538,26,26101,2021,04,1,1,8862
52354538,26,26101,2021,04,1,2,10190
52354538,26,26101,2021,04,2,0,11478
52354538,26,26101,2021,04,2,1,8869
52354538,26,26101,2021,04,2,2,9958
52354548,26,26101,2021,04,0,0,8382
52354548,26,26101,2021,04,0,1,7949
52354548,26,26101,2021,04,0,2,7966
52354548,26,26101,2021,04,1,0,9068
52354548,26,26101,2021,04,1,1,7765
52354548,26,26101,2021,04,1,2,8142
52354548,26,26101,2021,04,2,0,8862
52354548,26,26101,2021,04,2,1,7820
52354548,26,26101,2021,04,2,2,8089
52354549,26,26101,2021,04,0,0,11863
52354549,26,26101,2021,04,0,1,13485
52354549,26,26101,2021,04,0,2,12654
52354549,26,26101,2021,04,1,0,11779
52354549,26,26101,2021,04,1,1,13341
52354549,26,26101,2021,04,1,2,12394
52354549,26,26101,2021,04,2,0,11804
52354549,26,26101,2021,04,2,1,13384
52354549,26,26101,2021,04,2,2,12472
52354557,26,26101,2021,04,0,0,2071
52354557,26,26101,2021,04,0,1,2162
52354557,26,26101,2021,04,0,2,2090
52354557,26,26101,2021,04,1,0,1328
52354557,26,26101,2021,04,1,1,1924
52354557,26,26101,2021,04,1,2,1672
52354557,26,26101,2021,04,2,0,1551
52354557,26,26101,2021,04,2,1,1996
52354557,26,26101,2021,04,2,2,1797
52354558,26,26101,2021,04,0,0,3133
52354558,26,26101,2021,04,0,1,3913
52354558,26,26101,2021,04,0,2,3571
52354558,26,26101,2021,04,1,0,4412
52354558,26,26101,2021,04,1,1,4008
52354558,26,26101,2021,04,1,2,4024
52354558,26,26101,2021,04,2,0,4029
52354558,26,26101,2021,04,2,1,3979
52354558,26,26101,2021,04,2,2,3888
52354559,26,26101,2021,04,0,0,9431
52354559,26,26101,2021,04,0,1,10450
52354559,26,26101,2021,04,0,2,9961
52354559,26,26101,2021,04,1,0,9581
52354559,26,26101,2021,04,1,1,10754
52354559,26,26101,2021,04,1,2,10006
52354559,26,26101,2021,04,2,0,9536
52354559,26,26101,2021,04,2,1,10663
52354559,26,26101,2021,04,2,2,9992
52354567,26,26101,2021,04,0,0,80
52354567,26,26101,2021,04,0,1,97
52354567,26,26101,2021,04,0,2,97
52354567,26,26101,2021,04,1,0,77
52354567,26,26101,2021,04,1,1,163
52354567,26,26101,2021,04,1,2,125
52354567,26,26101,2021,04,2,0,78
52354567,26,26101,2021,04,2,1,143
52354567,26,26101,2021,04,2,2,117
52354568,26,26101,2021,04,0,0,2522
52354568,26,26101,2021,04,0,1,3791
52354568,26,26101,2021,04,0,2,3289
52354568,26,26101,2021,04,1,0,2192
52354568,26,26101,2021,04,1,1,3607
52354568,26,26101,2021,04,1,2,3025
52354568,26,26101,2021,04,2,0,2291
52354568,26,26101,2021,04,2,1,3662
52354568,26,26101,2021,04,2,2,3104
52354569,26,26101,2021,04,0,0,11979
52354569,26,26101,2021,04,0,1,14996
52354569,26,26101,2021,04,0,2,13724
52354569,26,26101,2021,04,1,0,10575
52354569,26,26101,2021,04,1,1,15154
52354569,26,26101,2021,04,1,2,13088
52354569,26,26101,2021,04,2,0,10996
52354569,26,26101,2021,04,2,1,15107
52354569,26,26101,2021,04,2,2,13279
52354578,26,26101,2021,04,0,0,100
52354578,26,26101,2021,04,0,1,81
52354578,26,26101,2021,04,0,2,75
52354578,26,26101,2021,04,1,0,74
52354578,26,26101,2021,04,1,1,65
52354578,26,26101,2021,04,1,2,60
52354578,26,26101,2021,04,2,0,82
52354578,26,26101,2021,04,2,1,69
52354578,26,26101,2021,04,2,2,64
52354579,26,26101,2021,04,0,0,6403
52354579,26,26101,2021,04,0,1,8053
52354579,26,26101,2021,04,0,2,7414
52354579,26,26101,2021,04,1,0,5691
52354579,26,26101,2021,04,1,1,8421
52354579,26,26101,2021,04,1,2,7233
52354579,26,26101,2021,04,2,0,5905
52354579,26,26101,2021,04,2,1,8311
52354579,26,26101,2021,04,2,2,7287
52354587,26,26101,2021,04,0,0,20
52354587,26,26101,2021,04,2,0,10
52354589,26,26101,2021,04,0,0,4208
52354589,26,26101,2021,04,0,1,5606
52354589,26,26101,2021,04,0,2,4934
52354589,26,26101,2021,04,1,0,3405
52354589,26,26101,2021,04,1,1,5331
52354589,26,26101,2021,04,1,2,4443
52354589,26,26101,2021,04,2,0,3646
52354589,26,26101,2021,04,2,1,5413
52354589,26,26101,2021,04,2,2,4590
52354594,26,26101,2021,04,0,0,10
52354594,26,26101,2021,04,0,2,10
52354594,26,26101,2021,04,1,0,14
52354594,26,26101,2021,04,2,0,13
52354599,26,26101,2021,04,0,0,1591
52354599,26,26101,2021,04,0,1,1780
52354599,26,26101,2021,04,0,2,1718
52354599,26,26101,2021,04,1,0,1079
52354599,26,26101,2021,04,1,1,1737
52354599,26,26101,2021,04,1,2,1453
52354599,26,26101,2021,04,2,0,1233
52354599,26,26101,2021,04,2,1,1750
52354599,26,26101,2021,04,2,2,1532
52354640,26,26101,2021,04,0,0,12003
52354640,26,26101,2021,04,0,1,13261
52354640,26,26101,2021,04,0,2,12556
52354640,26,26101,2021,04,1,0,13798
52354640,26,26101,2021,04,1,1,13770
52354640,26,26101,2021,04,1,2,13512
52354640,26,26101,2021,04,2,0,13260
52354640,26,26101,2021,04,2,1,13617
52354640,26,26101,2021,04,2,2,13225
52354650,26,26101,2021,04,0,0,15991
52354650,26,26101,2021,04,0,1,13124
52354650,26,26101,2021,04,0,2,14256
52354650,26,26101,2021,04,1,0,17115
52354650,26,26101,2021,04,1,1,13393
52354650,26,26101,2021,04,1,2,14659
52354650,26,26101,2021,04,2,0,16778
52354650,26,26101,2021,04,2,1,13312
52354650,26,26101,2021,04,2,2,14538
