mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2019,09,0,0,10439
52354538,26,26101,2019,09,0,1,8291
52354538,26,26101,2019,09,0,2,8969
52354538,26,26101,2019,09,1,0,10420
52354538,26,26101,2019,09,1,1,8062
52354538,26,26101,2019,09,1,2,9010
52354538,26,26101,2019,09,2,0,10427
52354538,26,26101,2019,09,2,1,8146
52354538,26,26101,2019,09,2,2,8995
52354548,26,26101,2019,09,0,0,8799
52354548,26,26101,2019,09,0,1,8154
52354548,26,26101,2019,09,0,2,8096
52354548,26,26101,2019,09,1,0,7984
52354548,26,26101,2019,09,1,1,8172
52354548,26,26101,2019,09,1,2,7856
52354548,26,26101,2019,09,2,0,8283
52354548,26,26101,2019,09,2,1,8165
52354548,26,26101,2019,09,2,2,7944
52354549,26,26101,2019,09,0,0,10145
52354549,26,26101,2019,09,0,1,12611
52354549,26,26101,2019,09,0,2,11306
52354549,26,26101,2019,09,1,0,9323
52354549,26,26101,2019,09,1,1,12067
52354549,26,26101,2019,09,1,2,10647
52354549,26,26101,2019,09,2,0,9625
52354549,26,26101,2019,09,2,1,12266
52354549,26,26101,2019,09,2,2,10888
52354557,26,26101,2019,09,0,0,2024
52354557,26,26101,2019,09,0,1,2405
52354557,26,26101,2019,09,0,2,2228
52354557,26,26101,2019,09,1,0,1565
52354557,26,26101,2019,09,1,1,2412
52354557,26,26101,2019,09,1,2,1974
52354557,26,26101,2019,09,2,0,1733
52354557,26,26101,2019,09,2,1,2410
52354557,26,26101,2019,09,2,2,2067
52354558,26,26101,2019,09,0,0,4031
52354558,26,26101,2019,09,0,1,3885
52354558,26,26101,2019,09,0,2,3702
52354558,26,26101,2019,09,1,0,4645
52354558,26,26101,2019,09,1,1,3674
52354558,26,26101,2019,09,1,2,3765
52354558,26,26101,2019,09,2,0,4420
52354558,26,26101,2019,09,2,1,3751
52354558,26,26101,2019,09,2,2,3742
52354559,26,26101,2019,09,0,0,10702
52354559,26,26101,2019,09,0,1,12307
52354559,26,26101,2019,09,0,2,11125
52354559,26,26101,2019,09,1,0,10076
52354559,26,26101,2019,09,1,1,12451
52354559,26,26101,2019,09,1,2,10904
52354559,26,26101,2019,09,2,0,10306
52354559,26,26101,2019,09,2,1,12398
52354559,26,26101,2019,09,2,2,10985
52354567,26,26101,2019,09,0,0,61
52354567,26,26101,2019,09,0,1,76
52354567,26,26101,2019,09,0,2,68
52354567,26,26101,2019,09,1,0,52
52354567,26,26101,2019,09,1,1,84
52354567,26,26101,2019,09,1,2,72
52354567,26,26101,2019,09,2,0,56
52354567,26,26101,2019,09,2,1,81
52354567,26,26101,2019,09,2,2,70
52354568,26,26101,2019,09,0,0,2295
52354568,26,26101,2019,09,0,1,3480
52354568,26,26101,2019,09,0,2,2997
52354568,26,26101,2019,09,1,0,2042
52354568,26,26101,2019,09,1,1,3465
52354568,26,26101,2019,09,1,2,2749
52354568,26,26101,2019,09,2,0,2135
52354568,26,26101,2019,09,2,1,3470
52354568,26,26101,2019,09,2,2,2840
52354569,26,26101,2019,09,0,0,11051
52354569,26,26101,2019,09,0,1,15526
52354569,26,26101,2019,09,0,2,13259
52354569,26,26101,2019,09,1,0,9529
52354569,26,26101,2019,09,1,1,15229
52354569,26,26101,2019,09,1,2,12526
52354569,26,26101,2019,09,2,0,10087
52354569,26,26101,2019,09,2,1,15338
52354569,26,26101,2019,09,2,2,12795
52354578,26,26101,2019,09,0,0,89
