mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2020,01,0,0,12696
52354538,26,26101,2020,01,0,1,8603
52354538,26,26101,2020,01,0,2,9852
52354538,26,26101,2020,01,1,0,12300
52354538,26,26101,2020,01,1,1,8636
52354538,26,26101,2020,01,1,2,9973
52354538,26,26101,2020,01,2,0,12428
52354538,26,26101,2020,01,2,1,8625
52354538,26,26101,2020,01,2,2,9934
52354548,26,26101,2020,01,0,0,9706
52354548,26,26101,2020,01,0,1,8543
52354548,26,26101,2020,01,0,2,8725
52354548,26,26101,2020,01,1,0,9434
52354548,26,26101,2020,01,1,1,8549
52354548,26,26101,2020,01,1,2,8682
52354548,26,26101,2020,01,2,0,9521
52354548,26,26101,2020,01,2,1,8547
52354548,26,26101,2020,01,2,2,8696
52354549,26,26101,2020,01,0,0,10515
52354549,26,26101,2020,01,0,1,12052
52354549,26,26101,2020,01,0,2,11190
52354549,26,26101,2020,01,1,0,9689
52354549,26,26101,2020,01,1,1,12225
52354549,26,26101,2020,01,1,2,10917
52354549,26,26101,2020,01,2,0,9956
52354549,26,26101,2020,01,2,1,12169
52354549,26,26101,2020,01,2,2,11005
52354557,26,26101,2020,01,0,0,1882
52354557,26,26101,2020,01,0,1,2280
52354557,26,26101,2020,01,0,2,2127
52354557,26,26101,2020,01,1,0,1637
52354557,26,26101,2020,01,1,1,2333
52354557,26,26101,2020,01,1,2,1960
52354557,26,26101,2020,01,2,0,1716
52354557,26,26101,2020,01,2,1,2316
52354557,26,26101,2020,01,2,2,2014
52354558,26,26101,2020,01,0,0,3669
52354558,26,26101,2020,01,0,1,3952
52354558,26,26101,2020,01,0,2,3739
52354558,26,26101,2020,01,1,0,6331
52354558,26,26101,2020,01,1,1,4172
52354558,26,26101,2020,01,1,2,4744
52354558,26,26101,2020,01,2,0,5472
52354558,26,26101,2020,01,2,1,4101
52354558,26,26101,2020,01,2,2,4419
52354559,26,26101,2020,01,0,0,10771
52354559,26,26101,2020,01,0,1,12034
52354559,26,26101,2020,01,0,2,11260
52354559,26,26101,2020,01,1,0,10910
52354559,26,26101,2020,01,1,1,12563
52354559,26,26101,2020,01,1,2,11371
52354559,26,26101,2020,01,2,0,10865
52354559,26,26101,2020,01,2,1,12393
52354559,26,26101,2020,01,2,2,11335
52354567,26,26101,2020,01,0,0,96
52354567,26,26101,2020,01,0,1,129
52354567,26,26101,2020,01,0,2,118
52354567,26,26101,2020,01,1,0,83
52354567,26,26101,2020,01,1,1,122
52354567,26,26101,2020,01,1,2,105
52354567,26,26101,2020,01,2,0,87
52354567,26,26101,2020,01,2,1,125
52354567,26,26101,2020,01,2,2,109
52354568,26,26101,2020,01,0,0,2639
52354568,26,26101,2020,01,0,1,3705
52354568,26,26101,2020,01,0,2,3214
52354568,26,26101,2020,01,1,0,2259
52354568,26,26101,2020,01,1,1,3505
52354568,26,26101,2020,01,1,2,2896
52354568,26,26101,2020,01,2,0,2382
52354568,26,26101,2020,01,2,1,3569
52354568,26,26101,2020,01,2,2,2999
52354569,26,26101,2020,01,0,0,11867
52354569,26,26101,2020,01,0,1,14708
52354569,26,26101,2020,01,0,2,13242
52354569,26,26101,2020,01,1,0,10307
52354569,26,26101,2020,01,1,1,15527
52354569,26,26101,2020,01,1,2,13132
52354569,26,26101,2020,01,2,0,10810
52354569,26,26101,2020,01,2,1,15263
52354569,26,26101,2020,01,2,2,13168
52354578,26,26101,2020,01,0,0,56
52354578,26,26101,2020,01,0,1,52
52354578,26,26101,2020,01,0,2,57
52354578,26,26101,2020,01,1,0,34
52354578,26,26101,2020,01,1,1,68
52354578,26,26101,2020,01,1,2,44
52354578,26,26101,2020,01,2,0,41
52354578,26,26101,2020,01,2,1,63
52354578,26,26101,2020,01,2,2,49
52354579,26,26101,2020,01,0,0,6312
52354579,26,26101,2020,01,0,1,7992
