mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2020,03,0,0,11075
52354538,26,26101,2020,03,0,1,8542
52354538,26,26101,2020,03,0,2,9444
52354538,26,26101,2020,03,1,0,10392
52354538,26,26101,2020,03,1,1,8241
52354538,26,26101,2020,03,1,2,9098
52354538,26,26101,2020,03,2,0,10612
52354538,26,26101,2020,03,2,1,8338
52354538,26,26101,2020,03,2,2,9210
52354548,26,26101,2020,03,0,0,9513
52354548,26,26101,2020,03,0,1,7986
52354548,26,26101,2020,03,0,2,8262
52354548,26,26101,2020,03,1,0,7854
52354548,26,26101,2020,03,1,1,7887
52354548,26,26101,2020,03,1,2,7616
52354548,26,26101,2020,03,2,0,8389
52354548,26,26101,2020,03,2,1,7919
52354548,26,26101,2020,03,2,2,7824
52354549,26,26101,2020,03,0,0,12049
52354549,26,26101,2020,03,0,1,13105
52354549,26,26101,2020,03,0,2,12402
52354549,26,26101,2020,03,1,0,10639
52354549,26,26101,2020,03,1,1,12991
52354549,26,26101,2020,03,1,2,11702
52354549,26,26101,2020,03,2,0,11094
52354549,26,26101,2020,03,2,1,13028
52354549,26,26101,2020,03,2,2,11928
52354557,26,26101,2020,03,0,0,2244
52354557,26,26101,2020,03,0,1,2377
52354557,26,26101,2020,03,0,2,2291
52354557,26,26101,2020,03,1,0,2007
52354557,26,26101,2020,03,1,1,2350
52354557,26,26101,2020,03,1,2,2136
52354557,26,26101,2020,03,2,0,2084
52354557,26,26101,2020,03,2,1,2359
52354557,26,26101,2020,03,2,2,2186
52354558,26,26101,2020,03,0,0,3548
52354558,26,26101,2020,03,0,1,4034
52354558,26,26101,2020,03,0,2,3808
52354558,26,26101,2020,03,1,0,3480
52354558,26,26101,2020,03,1,1,4029
52354558,26,26101,2020,03,1,2,3687
52354558,26,26101,2020,03,2,0,3502
52354558,26,26101,2020,03,2,1,4030
52354558,26,26101,2020,03,2,2,3726
52354559,26,26101,2020,03,0,0,11492
52354559,26,26101,2020,03,0,1,12720
52354559,26,26101,2020,03,0,2,11998
52354559,26,26101,2020,03,1,0,10149
52354559,26,26101,2020,03,1,1,12947
52354559,26,26101,2020,03,1,2,11313
52354559,26,26101,2020,03,2,0,10582
52354559,26,26101,2020,03,2,1,12874
52354559,26,26101,2020,03,2,2,11534
52354567,26,26101,2020,03,0,0,90
52354567,26,26101,2020,03,0,1,124
52354567,26,26101,2020,03,0,2,96
52354567,26,26101,2020,03,1,0,123
52354567,26,26101,2020,03,1,1,177
52354567,26,26101,2020,03,1,2,146
52354567,26,26101,2020,03,2,0,112
52354567,26,26101,2020,03,2,1,160
52354567,26,26101,2020,03,2,2,130
52354568,26,26101,2020,03,0,0,3013
52354568,26,26101,2020,03,0,1,3881
52354568,26,26101,2020,03,0,2,3461
52354568,26,26101,2020,03,1,0,2517
52354568,26,26101,2020,03,1,1,3843
52354568,26,26101,2020,03,1,2,3160
52354568,26,26101,2020,03,2,0,2677
52354568,26,26101,2020,03,2,1,3856
52354568,26,26101,2020,03,2,2,3257
52354569,26,26101,2020,03,0,0,12828
52354569,26,26101,2020,03,0,1,15551
52354569,26,26101,2020,03,0,2,14100
52354569,26,26101,2020,03,1,0,11633
52354569,26,26101,2020,03,1,1,14987
52354569,26,26101,2020,03,1,2,13248
52354569,26,26101,2020,03,2,0,12019
52354569,26,26101,2020,03,2,1,15169
52354569,26,26101,2020,03,2,2,13523
52354578,26,26101,2020,03,0,0,131
52354578,26,26101,2020,03,0,1,94
52354578,26,26101,2020,03,0,2,109
52354578,26,26101,2020,03,1,0,45
52354578,26,26101,2020,03,1,1,77
52354578,26,26101,2020,03,1,2,52
52354578,26,26101,2020,03,2,0,73
52354578,26,26101,2020,03,2,1,83
52354578,26,26101,2020,03,2,2,70
52354579,26,26101,2020,03,0,0,7382
52354579,26,26101,2020,03,0,1,8820
52354579,26,26101,2020,03,0,2,8053
52354579,26,26101,2020,03,1,0,6661
52354579,26,26101,2020,03,1,1,8749
52354579,26,26101,2020,03,1,2,7592
52354579,26,26101,2020,03,2,0,6893
52354579,26,26101,2020,03,2,1,8772
52354579,26,26101,2020,03,2,2,7741
52354587,26,26101,2020,03,0,0,122
52354587,26,26101,2020,03,0,1,118
52354587,26,26101,2020,03,0,2,88
52354587,26,26101,2020,03,1,0,95
52354587,26,26101,2020,03,1,1,130
52354587,26,26101,2020,03,1,2,84
52354587,26,26101,2020,03,2,0,104
52354587,26,26101,2020,03,2,1,126
52354587,26,26101,2020,03,2,2,85
52354589,26,26101,2020,03,0,0,3750
52354589,26,26101,2020,03,0,1,4599
52354589,26,26101,2020,03,0,2,4183
52354589,26,26101,2020,03,1,0,3490
52354589,26,26101,2020,03,1,1,4594
52354589,26,26101,2020,03,1,2,4019
52354589,26,26101,2020,03,2,0,3574
52354589,26,26101,2020,03,2,1,4595
52354589,26,26101,2020,03,2,2,4072
52354594,26,26101,2020,03,0,0,11
52354594,26,26101,2020,03,1,0,11
52354594,26,26101,2020,03,2,0,11
52354599,26,26101,2020,03,0,0,1730
52354599,26,26101,2020,03,0,1,1523
52354599,26,26101,2020,03,0,2,1600
52354599,26,26101,2020,03,1,0,1548
52354599,26,26101,2020,03,1,1,1425
52354599,26,26101,2020,03,1,2,1430
52354599,26,26101,2020,03,2,0,1606
52354599,26,26101,2020,03,2,1,1457
52354599,26,26101,2020,03,2,2,1485
52354640,26,26101,2020,03,0,0,11950
52354640,26,26101,2020,03,0,1,12631
52354640,26,26101,2020,03,0,2,12232
52354640,26,26101,2020,03,1,0,14091
52354640,26,26101,2020,03,1,1,13090
52354640,26,26101,2020,03,1,2,13363
52354640,26,26101,2020,03,2,0,13400
52354640,26,26101,2020,03,2,1,12942
52354640,26,26101,2020,03,2,2,12998
52354650,26,26101,2020,03,0,0,13672
52354650,26,26101,2020,03,0,1,10930
