mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2020,09,0,0,9691
52354538,26,26101,2020,09,0,1,8337
52354538,26,26101,2020,09,0,2,8851
52354538,26,26101,2020,09,1,0,10301
52354538,26,26101,2020,09,1,1,8170
52354538,26,26101,2020,09,1,2,9150
52354538,26,26101,2020,09,2,0,10098
52354538,26,26101,2020,09,2,1,8226
52354538,26,26101,2020,09,2,2,9050
52354548,26,26101,2020,09,0,0,8763
52354548,26,26101,2020,09,0,1,8105
52354548,26,26101,2020,09,0,2,8113
52354548,26,26101,2020,09,1,0,7827
52354548,26,26101,2020,09,1,1,7847
52354548,26,26101,2020,09,1,2,7809
52354548,26,26101,2020,09,2,0,8139
52354548,26,26101,2020,09,2,1,7933
52354548,26,26101,2020,09,2,2,7911
52354549,26,26101,2020,09,0,0,11870
52354549,26,26101,2020,09,0,1,13123
52354549,26,26101,2020,09,0,2,12405
52354549,26,26101,2020,09,1,0,10611
52354549,26,26101,2020,09,1,1,13048
52354549,26,26101,2020,09,1,2,11719
52354549,26,26101,2020,09,2,0,11031
52354549,26,26101,2020,09,2,1,13073
52354549,26,26101,2020,09,2,2,11948
52354557,26,26101,2020,09,0,0,2186
52354557,26,26101,2020,09,0,1,2696
52354557,26,26101,2020,09,0,2,2474
52354557,26,26101,2020,09,1,0,1991
52354557,26,26101,2020,09,1,1,2904
52354557,26,26101,2020,09,1,2,2426
52354557,26,26101,2020,09,2,0,2056
52354557,26,26101,2020,09,2,1,2835
52354557,26,26101,2020,09,2,2,2442
52354558,26,26101,2020,09,0,0,3947
52354558,26,26101,2020,09,0,1,4277
52354558,26,26101,2020,09,0,2,4098
52354558,26,26101,2020,09,1,0,3874
52354558,26,26101,2020,09,1,1,4140
52354558,26,26101,2020,09,1,2,3900
52354558,26,26101,2020,09,2,0,3898
52354558,26,26101,2020,09,2,1,4185
52354558,26,26101,2020,09,2,2,3966
52354559,26,26101,2020,09,0,0,10705
52354559,26,26101,2020,09,0,1,12076
52354559,26,26101,2020,09,0,2,11287
52354559,26,26101,2020,09,1,0,10280
52354559,26,26101,2020,09,1,1,12225
52354559,26,26101,2020,09,1,2,11105
52354559,26,26101,2020,09,2,0,10422
52354559,26,26101,2020,09,2,1,12175
52354559,26,26101,2020,09,2,2,11166
52354567,26,26101,2020,09,0,0,99
52354567,26,26101,2020,09,0,1,190
52354567,26,26101,2020,09,0,2,152
52354567,26,26101,2020,09,1,0,161
52354567,26,26101,2020,09,1,1,195
52354567,26,26101,2020,09,1,2,177
52354567,26,26101,2020,09,2,0,140
52354567,26,26101,2020,09,2,1,194
52354567,26,26101,2020,09,2,2,169
52354568,26,26101,2020,09,0,0,2562
52354568,26,26101,2020,09,0,1,3671
52354568,26,26101,2020,09,0,2,3285
52354568,26,26101,2020,09,1,0,2400
52354568,26,26101,2020,09,1,1,3791
52354568,26,26101,2020,09,1,2,3131
52354568,26,26101,2020,09,2,0,2454
52354568,26,26101,2020,09,2,1,3751
52354568,26,26101,2020,09,2,2,3182
52354569,26,26101,2020,09,0,0,12833
52354569,26,26101,2020,09,0,1,15632
52354569,26,26101,2020,09,0,2,14115
52354569,26,26101,2020,09,1,0,11535
52354569,26,26101,2020,09,1,1,15099
52354569,26,26101,2020,09,1,2,13341
52354569,26,26101,2020,09,2,0,11968
52354569,26,26101,2020,09,2,1,15277
52354569,26,26101,2020,09,2,2,13599
52354578,26,26101,2020,09,0,0,81
52354578,26,26101,2020,09,0,1,31
52354578,26,26101,2020,09,0,2,44
52354578,26,26101,2020,09,1,0,42
52354578,26,26101,2020,09,1,1,28
52354578,26,26101,2020,09,1,2,30
52354578,26,26101,2020,09,2,0,55
52354578,26,26101,2020,09,2,1,29
52354578,26,26101,2020,09,2,2,35
52354579,26,26101,2020,09,0,0,7481
52354579,26,26101,2020,09,0,1,8934
52354579,26,26101,2020,09,0,2,8239
52354579,26,26101,2020,09,1,0,6399
52354579,26,26101,2020,09,1,1,8691
52354579,26,26101,2020,09,1,2,7563
52354579,26,26101,2020,09,2,0,6760
52354579,26,26101,2020,09,2,1,8772
52354579,26,26101,2020,09,2,2,7788
52354587,26,26101,2020,09,0,0,45
52354587,26,26101,2020,09,0,1,16
52354587,26,26101,2020,09,0,2,20
52354587,26,26101,2020,09,1,0,16
52354587,26,26101,2020,09,1,2,11
52354587,26,26101,2020,09,2,0,26
52354587,26,26101,2020,09,2,2,14
52354589,26,26101,2020,09,0,0,3791
52354589,26,26101,2020,09,0,1,4702
52354589,26,26101,2020,09,0,2,4277
52354589,26,26101,2020,09,1,0,3162
52354589,26,26101,2020,09,1,1,4726
52354589,26,26101,2020,09,1,2,3995
52354589,26,26101,2020,09,2,0,3372
52354589,26,26101,2020,09,2,1,4718
52354589,26,26101,2020,09,2,2,4089
52354594,26,26101,2020,09,0,0,10
52354597,26,26101,2020,09,0,0,12
52354599,26,26101,2020,09,0,0,1189
52354599,26,26101,2020,09,0,1,1623
52354599,26,26101,2020,09,0,2,1421
52354599,26,26101,2020,09,1,0,1237
52354599,26,26101,2020,09,1,1,1556
52354599,26,26101,2020,09,1,2,1403
52354599,26,26101,2020,09,2,0,1221
52354599,26,26101,2020,09,2,1,1578
52354599,26,26101,2020,09,2,2,1409
52354640,26,26101,2020,09,0,0,12702
52354640,26,26101,2020,09,0,1,14049
52354640,26,26101,2020,09,0,2,13323
52354640,26,26101,2020,09,1,0,15044
52354640,26,26101,2020,09,1,1,14056
52354640,26,26101,2020,09,1,2,14284
52354640,26,26101,2020,09,2,0,14263
52354640,26,26101,2020,09,2,1,14054
52354640,26,26101,2020,09,2,2,13964
52354650,26,26101,2020,09,0,0,15514
52354650,26,26101,2020,09,0,1,12640
52354650,26,26101,2020,09,0,2,13748
52354650,26,26101,2020,09,1,0,14620
52354650,26,26101,2020,09,1,1,12295
52354650,26,26101,2020,09,1,2,13401
52354650,26,26101,2020,09,2,0,14918
52354650,26,26101,2020,09,2,1,12410
52354650,26,26101,2020,09,2,2,13517
52354660,26,26101,2020,09,0,0,9010
52354660,26,26101,2020,09,0,1,10361
52354660,26,26101,2020,09,0,2,9629
52354660,26,26101,2020,09,1,0,7942
52354660,26,26101,2020,09,1,1,10215
52354660,26,26101,2020,09,1,2,8976
52354660,26,26101,2020,09,2,0,8298
52354660,26,26101,2020,09,2,1,10264
52354660,26,26101,2020,09,2,2,9194
52354670,26,26101,2020,09,0,0,2115
52354670,26,26101,2020,09,0,1,2348
52354670,26,26101,2020,09,0,2,2181
52354670,26,26101,2020,09,1,0,1700
52354670,26,26101,2020,09,1,1,2155
52354670,26,26101,2020,09,1,2,1937
52354670,26,26101,2020,09,2,0,1838
52354670,26,26101,2020,09,2,1,2219
52354670,26,26101,2020,09,2,2,2018
52354680,26,26101,2020,09,0,0,2115
52354680,26,26101,2020,09,0,1,1479
52354680,26,26101,2020,09,0,2,1645
52354680,26,26101,2020,09,1,0,2470
52354680,26,26101,2020,09,1,1,1401
52354680,26,26101,2020,09,1,2,1792
52354680,26,26101,2020,09,2,0,2352
52354680,26,26101,2020,09,2,1,1427
52354680,26,26101,2020,09,2,2,1743
52354690,26,26101,2020,09,0,0,669
52354690,26,26101,2020,09,0,1,805
52354690,26,26101,2020,09,0,2,763
52354690,26,26101,2020,09,1,0,393
52354690,26,26101,2020,09,1,1,789
52354690,26,26101,2020,09,1,2,587
52354690,26,26101,2020,09,2,0,485
52354690,26,26101,2020,09,2,1,794
52354690,26,26101,2020,09,2,2,646
52355505,26,26101,2020,09,0,0,97
52355505,26,26101,2020,09,0,1,30
52355505,26,26101,2020,09,0,2,60
52355505,26,26101,2020,09,1,0,106
52355505,26,26101,2020,09,1,1,59
52355505,26,26101,2020,09,1,2,80
52355505,26,26101,2020,09,2,0,103
52355505,26,26101,2020,09,2,1,50
52355505,26,26101,2020,09,2,2,73
52355506,26,26101,2020,09,1,0,10
52355514,26,26101,2020,09,0,0,34
52355514,26,26101,2020,09,0,2,19
52355514,26,26101,2020,09,1,0,67
52355514,26,26101,2020,09,1,1,32
52355514,26,26101,2020,09,1,2,54
52355514,26,26101,2020,09,2,0,56
52355514,26,26101,2020,09,2,1,22
52355514,26,26101,2020,09,2,2,43
52355515,26,26101,2020,09,0,0,35
52355515,26,26101,2020,09,0,1,23
52355515,26,26101,2020,09,0,2,33
52355515,26,26101,2020,09,1,0,22
52355515,26,26101,2020,09,1,2,15
