mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2021,10,0,0,9574
52354538,26,26101,2021,10,0,1,8843
52354538,26,26101,2021,10,0,2,9105
52354538,26,26101,2021,10,1,0,11087
52354538,26,26101,2021,10,1,1,9022
52354538,26,26101,2021,10,1,2,9815
52354538,26,26101,2021,10,2,0,10599
52354538,26,26101,2021,10,2,1,8964
52354538,26,26101,2021,10,2,2,9586
52354548,26,26101,2021,10,0,0,8464
52354548,26,26101,2021,10,0,1,7614
52354548,26,26101,2021,10,0,2,7764
52354548,26,26101,2021,10,1,0,8549
52354548,26,26101,2021,10,1,1,7538
52354548,26,26101,2021,10,1,2,7822
52354548,26,26101,2021,10,2,0,8522
52354548,26,26101,2021,10,2,1,7562
52354548,26,26101,2021,10,2,2,7804
52354549,26,26101,2021,10,0,0,11385
52354549,26,26101,2021,10,0,1,13692
52354549,26,26101,2021,10,0,2,12452
52354549,26,26101,2021,10,1,0,10677
52354549,26,26101,2021,10,1,1,13667
52354549,26,26101,2021,10,1,2,12067
52354549,26,26101,2021,10,2,0,10906
52354549,26,26101,2021,10,2,1,13675
52354549,26,26101,2021,10,2,2,12191
52354557,26,26101,2021,10,0,0,1635
52354557,26,26101,2021,10,0,1,2131
52354557,26,26101,2021,10,0,2,1944
52354557,26,26101,2021,10,1,0,1292
52354557,26,26101,2021,10,1,1,2252
52354557,26,26101,2021,10,1,2,1759
52354557,26,26101,2021,10,2,0,1403
52354557,26,26101,2021,10,2,1,2213
52354557,26,26101,2021,10,2,2,1819
52354558,26,26101,2021,10,0,0,3655
52354558,26,26101,2021,10,0,1,4422
52354558,26,26101,2021,10,0,2,4021
52354558,26,26101,2021,10,1,0,4579
52354558,26,26101,2021,10,1,1,4572
52354558,26,26101,2021,10,1,2,4323
52354558,26,26101,2021,10,2,0,4281
52354558,26,26101,2021,10,2,1,4523
52354558,26,26101,2021,10,2,2,4225
52354559,26,26101,2021,10,0,0,9195
52354559,26,26101,2021,10,0,1,10193
52354559,26,26101,2021,10,0,2,9597
52354559,26,26101,2021,10,1,0,8991
52354559,26,26101,2021,10,1,1,10691
52354559,26,26101,2021,10,1,2,9778
52354559,26,26101,2021,10,2,0,9057
52354559,26,26101,2021,10,2,1,10530
52354559,26,26101,2021,10,2,2,9719
52354567,26,26101,2021,10,0,0,71
52354567,26,26101,2021,10,0,1,79
52354567,26,26101,2021,10,0,2,73
52354567,26,26101,2021,10,1,0,62
52354567,26,26101,2021,10,1,1,105
52354567,26,26101,2021,10,1,2,87
52354567,26,26101,2021,10,2,0,65
52354567,26,26101,2021,10,2,1,97
52354567,26,26101,2021,10,2,2,82
52354568,26,26101,2021,10,0,0,2770
52354568,26,26101,2021,10,0,1,4019
52354568,26,26101,2021,10,0,2,3576
52354568,26,26101,2021,10,1,0,2427
52354568,26,26101,2021,10,1,1,3889
52354568,26,26101,2021,10,1,2,3305
52354568,26,26101,2021,10,2,0,2538
52354568,26,26101,2021,10,2,1,3931
52354568,26,26101,2021,10,2,2,3392
52354569,26,26101,2021,10,0,0,11510
52354569,26,26101,2021,10,0,1,15672
52354569,26,26101,2021,10,0,2,13652
52354569,26,26101,2021,10,1,0,10436
52354569,26,26101,2021,10,1,1,15480
52354569,26,26101,2021,10,1,2,13233
52354569,26,26101,2021,10,2,0,10782
52354569,26,26101,2021,10,2,1,15542
52354569,26,26101,2021,10,2,2,13368
52354577,26,26101,2021,10,0,0,16
52354578,26,26101,2021,10,0,0,111
52354578,26,26101,2021,10,0,1,83
52354578,26,26101,2021,10,0,2,85
52354578,26,26101,2021,10,1,0,62
52354578,26,26101,2021,10,1,1,56
52354578,26,26101,2021,10,1,2,54
52354578,26,26101,2021,10,2,0,78
52354578,26,26101,2021,10,2,1,65
52354578,26,26101,2021,10,2,2,64
52354579,26,26101,2021,10,0,0,6058
52354579,26,26101,2021,10,0,1,7986
52354579,26,26101,2021,10,0,2,7161
52354579,26,26101,2021,10,1,0,5698
52354579,26,26101,2021,10,1,1,8320
52354579,26,26101,2021,10,1,2,6990
52354579,26,26101,2021,10,2,0,5814
52354579,26,26101,2021,10,2,1,8212
52354579,26,26101,2021,10,2,2,7045
52354587,26,26101,2021,10,0,0,40
52354587,26,26101,2021,10,0,1,12
52354587,26,26101,2021,10,0,2,15
52354587,26,26101,2021,10,2,0,15
52354589,26,26101,2021,10,0,0,3825
52354589,26,26101,2021,10,0,1,5617
